Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Random AI) 

Results:
Anett (Random AI) won 105 games (35%)
Elemér (Random AI) won 101 games (33,6666666666667%)
Ilona (Random AI) won 94 games (31,3333333333333%)

Game 248: Winner: Elemér, Type: Random AI
Game 249: Winner: Elemér, Type: Random AI
Game 250: Winner: Anett, Type: Random AI
Game 251: Winner: Ilona, Type: Random AI
Game 252: Winner: Elemér, Type: Random AI
Game 253: Winner: Ilona, Type: Random AI
Game 254: Winner: Ilona, Type: Random AI
Game 255: Winner: Anett, Type: Random AI
Game 256: Winner: Ilona, Type: Random AI
Game 257: Winner: Anett, Type: Random AI
Game 258: Winner: Elemér, Type: Random AI
Game 259: Winner: Ilona, Type: Random AI
Game 260: Winner: Anett, Type: Random AI
Game 261: Winner: Anett, Type: Random AI
Game 262: Winner: Elemér, Type: Random AI
Game 263: Winner: Anett, Type: Random AI
Game 264: Winner: Ilona, Type: Random AI
Game 265: Winner: Elemér, Type: Random AI
Game 266: Winner: Elemér, Type: Random AI
Game 267: Winner: Elemér, Type: Random AI
Game 268: Winner: Elemér, Type: Random AI
Game 269: Winner: Ilona, Type: Random AI
Game 270: Winner: Elemér, Type: Random AI
Game 271: Winner: Anett, Type: Random AI
Game 272: Winner: Ilona, Type: Random AI
Game 273: Winner: Elemér, Type: Random AI
Game 274: Winner: Elemér, Type: Random AI
Game 275: Winner: Ilona, Type: Random AI
Game 276: Winner: Ilona, Type: Random AI
Game 277: Winner: Elemér, Type: Random AI
Game 278: Winner: Anett, Type: Random AI
Game 279: Winner: Elemér, Type: Random AI
Game 280: Winner: Elemér, Type: Random AI
Game 281: Winner: Anett, Type: Random AI
Game 282: Winner: Ilona, Type: Random AI
Game 283: Winner: Anett, Type: Random AI
Game 284: Winner: Elemér, Type: Random AI
Game 285: Winner: Anett, Type: Random AI
Game 286: Winner: Elemér, Type: Random AI
Game 287: Winner: Anett, Type: Random AI
Game 288: Winner: Elemér, Type: Random AI
Game 289: Winner: Anett, Type: Random AI
Game 290: Winner: Anett, Type: Random AI
Game 291: Winner: Anett, Type: Random AI
Game 292: Winner: Ilona, Type: Random AI
Game 293: Winner: Elemér, Type: Random AI
Game 294: Winner: Ilona, Type: Random AI
Game 295: Winner: Elemér, Type: Random AI
Game 296: Winner: Ilona, Type: Random AI
Game 297: Winner: Ilona, Type: Random AI
Game 298: Winner: Anett, Type: Random AI
Game 299: Winner: Elemér, Type: Random AI
