Players:
Gergő (Random AI) 
Sándor (Simple AI) 

Results:
Sándor (Simple AI) won 471 games (47,1%)
Gergő (Random AI) won 529 games (52,9%)

Game 383: Winner: Gergő, Type: Random AI
Game 384: Winner: Sándor, Type: Simple AI
Game 385: Winner: Gergő, Type: Random AI
Game 386: Winner: Gergő, Type: Random AI
Game 387: Winner: Gergő, Type: Random AI
Game 388: Winner: Gergő, Type: Random AI
Game 389: Winner: Gergő, Type: Random AI
Game 390: Winner: Sándor, Type: Simple AI
Game 391: Winner: Sándor, Type: Simple AI
Game 392: Winner: Gergő, Type: Random AI
Game 393: Winner: Sándor, Type: Simple AI
Game 394: Winner: Sándor, Type: Simple AI
Game 395: Winner: Gergő, Type: Random AI
Game 396: Winner: Sándor, Type: Simple AI
Game 397: Winner: Gergő, Type: Random AI
Game 398: Winner: Gergő, Type: Random AI
Game 399: Winner: Gergő, Type: Random AI
Game 400: Winner: Sándor, Type: Simple AI
Game 401: Winner: Gergő, Type: Random AI
Game 402: Winner: Gergő, Type: Random AI
Game 403: Winner: Gergő, Type: Random AI
Game 404: Winner: Sándor, Type: Simple AI
Game 405: Winner: Gergő, Type: Random AI
Game 406: Winner: Sándor, Type: Simple AI
Game 407: Winner: Gergő, Type: Random AI
Game 408: Winner: Sándor, Type: Simple AI
Game 409: Winner: Sándor, Type: Simple AI
Game 410: Winner: Gergő, Type: Random AI
Game 411: Winner: Sándor, Type: Simple AI
Game 412: Winner: Gergő, Type: Random AI
Game 413: Winner: Sándor, Type: Simple AI
Game 414: Winner: Sándor, Type: Simple AI
Game 415: Winner: Gergő, Type: Random AI
Game 416: Winner: Gergő, Type: Random AI
Game 417: Winner: Gergő, Type: Random AI
Game 418: Winner: Sándor, Type: Simple AI
Game 419: Winner: Sándor, Type: Simple AI
Game 420: Winner: Gergő, Type: Random AI
Game 421: Winner: Gergő, Type: Random AI
Game 422: Winner: Sándor, Type: Simple AI
Game 423: Winner: Gergő, Type: Random AI
Game 424: Winner: Sándor, Type: Simple AI
Game 425: Winner: Sándor, Type: Simple AI
Game 426: Winner: Sándor, Type: Simple AI
Game 427: Winner: Gergő, Type: Random AI
Game 428: Winner: Sándor, Type: Simple AI
Game 429: Winner: Sándor, Type: Simple AI
Game 430: Winner: Gergő, Type: Random AI
Game 431: Winner: Sándor, Type: Simple AI
Game 432: Winner: Gergő, Type: Random AI
Game 433: Winner: Gergő, Type: Random AI
Game 434: Winner: Sándor, Type: Simple AI
Game 435: Winner: Gergő, Type: Random AI
Game 436: Winner: Gergő, Type: Random AI
Game 437: Winner: Sándor, Type: Simple AI
Game 438: Winner: Gergő, Type: Random AI
Game 439: Winner: Sándor, Type: Simple AI
