Players:
Mária (Random AI) 
Ilona (Simple AI) 

Results:
Ilona (Simple AI) won 344 games (68,8%)
Mária (Random AI) won 156 games (31,2%)

Game 356: Winner: Ilona, Type: Simple AI
Game 357: Winner: Ilona, Type: Simple AI
Game 358: Winner: Mária, Type: Random AI
Game 359: Winner: Ilona, Type: Simple AI
Game 360: Winner: Mária, Type: Random AI
Game 361: Winner: Mária, Type: Random AI
Game 362: Winner: Ilona, Type: Simple AI
Game 363: Winner: Mária, Type: Random AI
Game 364: Winner: Ilona, Type: Simple AI
Game 365: Winner: Ilona, Type: Simple AI
Game 366: Winner: Ilona, Type: Simple AI
Game 367: Winner: Mária, Type: Random AI
Game 368: Winner: Ilona, Type: Simple AI
Game 369: Winner: Ilona, Type: Simple AI
Game 370: Winner: Ilona, Type: Simple AI
Game 371: Winner: Mária, Type: Random AI
Game 372: Winner: Ilona, Type: Simple AI
Game 373: Winner: Ilona, Type: Simple AI
Game 374: Winner: Ilona, Type: Simple AI
Game 375: Winner: Ilona, Type: Simple AI
Game 376: Winner: Mária, Type: Random AI
Game 377: Winner: Ilona, Type: Simple AI
Game 378: Winner: Ilona, Type: Simple AI
Game 379: Winner: Mária, Type: Random AI
Game 380: Winner: Mária, Type: Random AI
Game 381: Winner: Ilona, Type: Simple AI
Game 382: Winner: Ilona, Type: Simple AI
Game 383: Winner: Ilona, Type: Simple AI
Game 384: Winner: Ilona, Type: Simple AI
Game 385: Winner: Ilona, Type: Simple AI
Game 386: Winner: Ilona, Type: Simple AI
Game 387: Winner: Ilona, Type: Simple AI
Game 388: Winner: Ilona, Type: Simple AI
Game 389: Winner: Mária, Type: Random AI
Game 390: Winner: Mária, Type: Random AI
Game 391: Winner: Ilona, Type: Simple AI
Game 392: Winner: Ilona, Type: Simple AI
Game 393: Winner: Ilona, Type: Simple AI
Game 394: Winner: Ilona, Type: Simple AI
Game 395: Winner: Ilona, Type: Simple AI
Game 396: Winner: Ilona, Type: Simple AI
Game 397: Winner: Mária, Type: Random AI
Game 398: Winner: Ilona, Type: Simple AI
Game 399: Winner: Ilona, Type: Simple AI
Game 400: Winner: Ilona, Type: Simple AI
Game 401: Winner: Ilona, Type: Simple AI
Game 402: Winner: Ilona, Type: Simple AI
Game 403: Winner: Mária, Type: Random AI
Game 404: Winner: Ilona, Type: Simple AI
Game 405: Winner: Mária, Type: Random AI
Game 406: Winner: Ilona, Type: Simple AI
Game 407: Winner: Ilona, Type: Simple AI
Game 408: Winner: Mária, Type: Random AI
Game 409: Winner: Ilona, Type: Simple AI
Game 410: Winner: Ilona, Type: Simple AI
Game 411: Winner: Mária, Type: Random AI
Game 412: Winner: Ilona, Type: Simple AI
Game 413: Winner: Mária, Type: Random AI
Game 414: Winner: Ilona, Type: Simple AI
Game 415: Winner: Mária, Type: Random AI
Game 416: Winner: Ilona, Type: Simple AI
Game 417: Winner: Ilona, Type: Simple AI
Game 418: Winner: Ilona, Type: Simple AI
Game 419: Winner: Ilona, Type: Simple AI
Game 420: Winner: Mária, Type: Random AI
Game 421: Winner: Mária, Type: Random AI
Game 422: Winner: Mária, Type: Random AI
Game 423: Winner: Mária, Type: Random AI
Game 424: Winner: Ilona, Type: Simple AI
Game 425: Winner: Mária, Type: Random AI
Game 426: Winner: Ilona, Type: Simple AI
Game 427: Winner: Ilona, Type: Simple AI
Game 428: Winner: Ilona, Type: Simple AI
Game 429: Winner: Ilona, Type: Simple AI
Game 430: Winner: Ilona, Type: Simple AI
