Players:
Ilona (Random AI) 
Anett (Simple AI) 
Elemér (Simple AI) 

Results:
Elemér (Simple AI) won 97 games (32,3333333333333%)
Game 206: Winner: Elemér, Type: Simple AI
Game 207: Winner: Anett, Type: Simple AI
Game 208: Winner: Anett, Type: Simple AI
Game 209: Winner: Ilona, Type: Random AI
Game 210: Winner: Anett, Type: Simple AI
Game 211: Winner: Ilona, Type: Random AI
Game 212: Winner: Anett, Type: Simple AI
Game 213: Winner: Anett, Type: Simple AI
Game 214: Winner: Elemér, Type: Simple AI
Game 215: Winner: Anett, Type: Simple AI
Game 216: Winner: Anett, Type: Simple AI
Game 217: Winner: Anett, Type: Simple AI
Game 218: Winner: Anett, Type: Simple AI
Game 219: Winner: Anett, Type: Simple AI
Game 220: Winner: Anett, Type: Simple AI
Game 221: Winner: Anett, Type: Simple AI
Game 222: Winner: Anett, Type: Simple AI
Game 223: Winner: Anett, Type: Simple AI
Game 224: Winner: Elemér, Type: Simple AI
Game 225: Winner: Ilona, Type: Random AI
Game 226: Winner: Elemér, Type: Simple AI
Game 227: Winner: Elemér, Type: Simple AI
Game 228: Winner: Ilona, Type: Random AI
Game 229: Winner: Anett, Type: Simple AI
Game 230: Winner: Anett, Type: Simple AI
Game 231: Winner: Elemér, Type: Simple AI
Game 232: Winner: Elemér, Type: Simple AI
Game 233: Winner: Elemér, Type: Simple AI
Game 234: Winner: Anett, Type: Simple AI
Game 235: Winner: Elemér, Type: Simple AI
Game 236: Winner: Anett, Type: Simple AI
Game 237: Winner: Ilona, Type: Random AI
Game 238: Winner: Anett, Type: Simple AI
Game 239: Winner: Anett, Type: Simple AI
Game 240: Winner: Elemér, Type: Simple AI
Game 241: Winner: Ilona, Type: Random AI
Game 242: Winner: Anett, Type: Simple AI
Game 243: Winner: Elemér, Type: Simple AI
Game 244: Winner: Elemér, Type: Simple AI
Game 245: Winner: Anett, Type: Simple AI
Game 246: Winner: Anett, Type: Simple AI
Game 247: Winner: Ilona, Type: Random AI
Game 248: Winner: Elemér, Type: Simple AI
Game 249: Winner: Anett, Type: Simple AI
Game 250: Winner: Anett, Type: Simple AI
Game 251: Winner: Elemér, Type: Simple AI
Game 252: Winner: Ilona, Type: Random AI
Game 253: Winner: Anett, Type: Simple AI
Game 254: Winner: Anett, Type: Simple AI
Game 255: Winner: Ilona, Type: Random AI
Game 256: Winner: Ilona, Type: Random AI
Game 257: Winner: Elemér, Type: Simple AI
Game 258: Winner: Ilona, Type: Random AI
Game 259: Winner: Anett, Type: Simple AI
Game 260: Winner: Anett, Type: Simple AI
Game 261: Winner: Anett, Type: Simple AI
Game 262: Winner: Elemér, Type: Simple AI
Game 263: Winner: Ilona, Type: Random AI
Game 264: Winner: Anett, Type: Simple AI
Game 265: Winner: Ilona, Type: Random AI
Game 266: Winner: Ilona, Type: Random AI
Game 267: Winner: Ilona, Type: Random AI
Game 268: Winner: Anett, Type: Simple AI
Game 269: Winner: Ilona, Type: Random AI
Game 270: Winner: Elemér, Type: Simple AI
Game 271: Winner: Anett, Type: Simple AI
Game 272: Winner: Anett, Type: Simple AI
Game 273: Winner: Ilona, Type: Random AI
Game 274: Winner: Anett, Type: Simple AI
Game 275: Winner: Elemér, Type: Simple AI
Game 276: Winner: Elemér, Type: Simple AI
