Players:
Ilona (Random AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 309 games (61,8%)
Ilona (Random AI) won 191 games (38,2%)

Game 187: Winner: Anett, Type: Simple AI
Game 188: Winner: Ilona, Type: Random AI
Game 189: Winner: Anett, Type: Simple AI
Game 190: Winner: Anett, Type: Simple AI
Game 191: Winner: Anett, Type: Simple AI
Game 192: Winner: Anett, Type: Simple AI
Game 193: Winner: Ilona, Type: Random AI
Game 194: Winner: Anett, Type: Simple AI
Game 195: Winner: Anett, Type: Simple AI
Game 196: Winner: Ilona, Type: Random AI
Game 197: Winner: Anett, Type: Simple AI
Game 198: Winner: Anett, Type: Simple AI
Game 199: Winner: Ilona, Type: Random AI
Game 200: Winner: Anett, Type: Simple AI
Game 201: Winner: Ilona, Type: Random AI
Game 202: Winner: Ilona, Type: Random AI
Game 203: Winner: Ilona, Type: Random AI
Game 204: Winner: Ilona, Type: Random AI
Game 205: Winner: Ilona, Type: Random AI
Game 206: Winner: Anett, Type: Simple AI
Game 207: Winner: Anett, Type: Simple AI
Game 208: Winner: Ilona, Type: Random AI
Game 209: Winner: Ilona, Type: Random AI
Game 210: Winner: Anett, Type: Simple AI
Game 211: Winner: Ilona, Type: Random AI
Game 212: Winner: Ilona, Type: Random AI
Game 213: Winner: Anett, Type: Simple AI
Game 214: Winner: Anett, Type: Simple AI
Game 215: Winner: Anett, Type: Simple AI
Game 216: Winner: Ilona, Type: Random AI
Game 217: Winner: Ilona, Type: Random AI
Game 218: Winner: Ilona, Type: Random AI
Game 219: Winner: Ilona, Type: Random AI
Game 220: Winner: Anett, Type: Simple AI
Game 221: Winner: Anett, Type: Simple AI
Game 222: Winner: Anett, Type: Simple AI
Game 223: Winner: Anett, Type: Simple AI
Game 224: Winner: Anett, Type: Simple AI
Game 225: Winner: Anett, Type: Simple AI
Game 226: Winner: Anett, Type: Simple AI
Game 227: Winner: Ilona, Type: Random AI
Game 228: Winner: Ilona, Type: Random AI
Game 229: Winner: Anett, Type: Simple AI
Game 230: Winner: Anett, Type: Simple AI
Game 231: Winner: Anett, Type: Simple AI
Game 232: Winner: Anett, Type: Simple AI
Game 233: Winner: Anett, Type: Simple AI
Game 234: Winner: Anett, Type: Simple AI
Game 235: Winner: Anett, Type: Simple AI
Game 236: Winner: Anett, Type: Simple AI
Game 237: Winner: Anett, Type: Simple AI
Game 238: Winner: Ilona, Type: Random AI
Game 239: Winner: Anett, Type: Simple AI
Game 240: Winner: Ilona, Type: Random AI
Game 241: Winner: Ilona, Type: Random AI
Game 242: Winner: Anett, Type: Simple AI
Game 243: Winner: Ilona, Type: Random AI
Game 244: Winner: Ilona, Type: Random AI
Game 245: Winner: Anett, Type: Simple AI
Game 246: Winner: Anett, Type: Simple AI
Game 247: Winner: Anett, Type: Simple AI
Game 248: Winner: Anett, Type: Simple AI
Game 249: Winner: Ilona, Type: Random AI
Game 250: Winner: Ilona, Type: Random AI
Game 251: Winner: Ilona, Type: Random AI
Game 252: Winner: Anett, Type: Simple AI
Game 253: Winner: Anett, Type: Simple AI
Game 254: Winner: Anett, Type: Simple AI
Game 255: Winner: Anett, Type: Simple AI
Game 256: Winner: Anett, Type: Simple AI
Game 257: Winner: Ilona, Type: Random AI
Game 258: Winner: Ilona, Type: Random AI
Game 259: Winner: Anett, Type: Simple AI
Game 260: Winner: Anett, Type: Simple AI
Game 261: Winner: Ilona, Type: Random AI
Game 262: Winner: Anett, Type: Simple AI
Game 263: Winner: Anett, Type: Simple AI
Game 264: Winner: Anett, Type: Simple AI
Game 265: Winner: Anett, Type: Simple AI
Game 266: Winner: Ilona, Type: Random AI
Game 267: Winner: Anett, Type: Simple AI
Game 268: Winner: Anett, Type: Simple AI
Game 269: Winner: Anett, Type: Simple AI
Game 270: Winner: Anett, Type: Simple AI
Game 271: Winner: Anett, Type: Simple AI
Game 272: Winner: Anett, Type: Simple AI
Game 273: Winner: Ilona, Type: Random AI
Game 274: Winner: Ilona, Type: Random AI
Game 275: Winner: Ilona, Type: Random AI
Game 276: Winner: Ilona, Type: Random AI
Game 277: Winner: Anett, Type: Simple AI
Game 278: Winner: Anett, Type: Simple AI
Game 279: Winner: Ilona, Type: Random AI
Game 280: Winner: Anett, Type: Simple AI
Game 281: Winner: Ilona, Type: Random AI
Game 282: Winner: Ilona, Type: Random AI
Game 283: Winner: Anett, Type: Simple AI
Game 284: Winner: Anett, Type: Simple AI
Game 285: Winner: Anett, Type: Simple AI
Game 286: Winner: Ilona, Type: Random AI
Game 287: Winner: Anett, Type: Simple AI
Game 288: Winner: Anett, Type: Simple AI
Game 289: Winner: Anett, Type: Simple AI
Game 290: Winner: Anett, Type: Simple AI
Game 291: Winner: Anett, Type: Simple AI
Game 292: Winner: Anett, Type: Simple AI
Game 293: Winner: Anett, Type: Simple AI
Game 294: Winner: Ilona, Type: Random AI
Game 295: Winner: Anett, Type: Simple AI
Game 296: Winner: Ilona, Type: Random AI
Game 297: Winner: Anett, Type: Simple AI
Game 298: Winner: Anett, Type: Simple AI
Game 299: Winner: Anett, Type: Simple AI
Game 300: Winner: Anett, Type: Simple AI
Game 301: Winner: Ilona, Type: Random AI
Game 302: Winner: Anett, Type: Simple AI
Game 303: Winner: Anett, Type: Simple AI
Game 304: Winner: Anett, Type: Simple AI
Game 305: Winner: Anett, Type: Simple AI
Game 306: Winner: Anett, Type: Simple AI
Game 307: Winner: Anett, Type: Simple AI
Game 308: Winner: Anett, Type: Simple AI
Game 309: Winner: Ilona, Type: Random AI
