Players:
Béla (Random AI) 
Károly (Simple AI) 

Results:
Károly (Simple AI) won 511 games (51,1%)
Béla (Random AI) won 489 games (48,9%)

Game 236: Winner: Béla, Type: Random AI
Game 237: Winner: Károly, Type: Simple AI
Game 238: Winner: Béla, Type: Random AI
Game 239: Winner: Béla, Type: Random AI
Game 240: Winner: Béla, Type: Random AI
Game 241: Winner: Béla, Type: Random AI
Game 242: Winner: Károly, Type: Simple AI
Game 243: Winner: Károly, Type: Simple AI
Game 244: Winner: Béla, Type: Random AI
Game 245: Winner: Béla, Type: Random AI
Game 246: Winner: Béla, Type: Random AI
Game 247: Winner: Béla, Type: Random AI
Game 248: Winner: Béla, Type: Random AI
Game 249: Winner: Károly, Type: Simple AI
Game 250: Winner: Béla, Type: Random AI
Game 251: Winner: Károly, Type: Simple AI
Game 252: Winner: Béla, Type: Random AI
Game 253: Winner: Béla, Type: Random AI
Game 254: Winner: Károly, Type: Simple AI
Game 255: Winner: Károly, Type: Simple AI
Game 256: Winner: Károly, Type: Simple AI
Game 257: Winner: Béla, Type: Random AI
Game 258: Winner: Károly, Type: Simple AI
Game 259: Winner: Béla, Type: Random AI
Game 260: Winner: Béla, Type: Random AI
Game 261: Winner: Béla, Type: Random AI
Game 262: Winner: Béla, Type: Random AI
Game 263: Winner: Károly, Type: Simple AI
Game 264: Winner: Béla, Type: Random AI
Game 265: Winner: Béla, Type: Random AI
Game 266: Winner: Károly, Type: Simple AI
Game 267: Winner: Béla, Type: Random AI
Game 268: Winner: Béla, Type: Random AI
Game 269: Winner: Béla, Type: Random AI
Game 270: Winner: Károly, Type: Simple AI
Game 271: Winner: Károly, Type: Simple AI
Game 272: Winner: Béla, Type: Random AI
Game 273: Winner: Károly, Type: Simple AI
Game 274: Winner: Károly, Type: Simple AI
Game 275: Winner: Béla, Type: Random AI
Game 276: Winner: Béla, Type: Random AI
Game 277: Winner: Béla, Type: Random AI
Game 278: Winner: Béla, Type: Random AI
Game 279: Winner: Béla, Type: Random AI
Game 280: Winner: Károly, Type: Simple AI
Game 281: Winner: Károly, Type: Simple AI
Game 282: Winner: Károly, Type: Simple AI
Game 283: Winner: Béla, Type: Random AI
Game 284: Winner: Károly, Type: Simple AI
Game 285: Winner: Károly, Type: Simple AI
Game 286: Winner: Béla, Type: Random AI
Game 287: Winner: Károly, Type: Simple AI
Game 288: Winner: Károly, Type: Simple AI
Game 289: Winner: Béla, Type: Random AI
Game 290: Winner: Béla, Type: Random AI
Game 291: Winner: Károly, Type: Simple AI
Game 292: Winner: Károly, Type: Simple AI
Game 293: Winner: Béla, Type: Random AI
Game 294: Winner: Béla, Type: Random AI
Game 295: Winner: Károly, Type: Simple AI
Game 296: Winner: Béla, Type: Random AI
Game 297: Winner: Béla, Type: Random AI
Game 298: Winner: Béla, Type: Random AI
Game 299: Winner: Béla, Type: Random AI
Game 300: Winner: Károly, Type: Simple AI
Game 301: Winner: Béla, Type: Random AI
Game 302: Winner: Károly, Type: Simple AI
Game 303: Winner: Károly, Type: Simple AI
Game 304: Winner: Béla, Type: Random AI
Game 305: Winner: Béla, Type: Random AI
Game 306: Winner: Béla, Type: Random AI
Game 307: Winner: Béla, Type: Random AI
Game 308: Winner: Károly, Type: Simple AI
Game 309: Winner: Béla, Type: Random AI
Game 310: Winner: Béla, Type: Random AI
Game 311: Winner: Béla, Type: Random AI
Game 312: Winner: Béla, Type: Random AI
Game 313: Winner: Károly, Type: Simple AI
Game 314: Winner: Károly, Type: Simple AI
Game 315: Winner: Béla, Type: Random AI
Game 316: Winner: Károly, Type: Simple AI
Game 317: Winner: Károly, Type: Simple AI
Game 318: Winner: Béla, Type: Random AI
Game 319: Winner: Károly, Type: Simple AI
Game 320: Winner: Károly, Type: Simple AI
Game 321: Winner: Károly, Type: Simple AI
Game 322: Winner: Béla, Type: Random AI
Game 323: Winner: Károly, Type: Simple AI
Game 324: Winner: Béla, Type: Random AI
Game 325: Winner: Károly, Type: Simple AI
Game 326: Winner: Károly, Type: Simple AI
Game 327: Winner: Károly, Type: Simple AI
Game 328: Winner: Károly, Type: Simple AI
Game 329: Winner: Béla, Type: Random AI
Game 330: Winner: Károly, Type: Simple AI
Game 331: Winner: Károly, Type: Simple AI
Game 332: Winner: Károly, Type: Simple AI
Game 333: Winner: Károly, Type: Simple AI
Game 334: Winner: Károly, Type: Simple AI
Game 335: Winner: Béla, Type: Random AI
Game 336: Winner: Károly, Type: Simple AI
Game 337: Winner: Béla, Type: Random AI
Game 338: Winner: Károly, Type: Simple AI
Game 339: Winner: Károly, Type: Simple AI
Game 340: Winner: Béla, Type: Random AI
Game 341: Winner: Károly, Type: Simple AI
Game 342: Winner: Béla, Type: Random AI
Game 343: Winner: Károly, Type: Simple AI
Game 344: Winner: Béla, Type: Random AI
Game 345: Winner: Károly, Type: Simple AI
Game 346: Winner: Béla, Type: Random AI
Game 347: Winner: Károly, Type: Simple AI
Game 348: Winner: Béla, Type: Random AI
Game 349: Winner: Béla, Type: Random AI
Game 350: Winner: Károly, Type: Simple AI
Game 351: Winner: Károly, Type: Simple AI
Game 352: Winner: Béla, Type: Random AI
Game 353: Winner: Károly, Type: Simple AI
Game 354: Winner: Béla, Type: Random AI
Game 355: Winner: Károly, Type: Simple AI
Game 356: Winner: Károly, Type: Simple AI
Game 357: Winner: Károly, Type: Simple AI
Game 358: Winner: Károly, Type: Simple AI
Game 359: Winner: Béla, Type: Random AI
Game 360: Winner: Károly, Type: Simple AI
Game 361: Winner: Károly, Type: Simple AI
Game 362: Winner: Béla, Type: Random AI
Game 363: Winner: Béla, Type: Random AI
Game 364: Winner: Károly, Type: Simple AI
Game 365: Winner: Béla, Type: Random AI
Game 366: Winner: Béla, Type: Random AI
Game 367: Winner: Károly, Type: Simple AI
Game 368: Winner: Károly, Type: Simple AI
Game 369: Winner: Béla, Type: Random AI
Game 370: Winner: Béla, Type: Random AI
Game 371: Winner: Béla, Type: Random AI
Game 372: Winner: Károly, Type: Simple AI
Game 373: Winner: Károly, Type: Simple AI
Game 374: Winner: Béla, Type: Random AI
Game 375: Winner: Károly, Type: Simple AI
Game 376: Winner: Károly, Type: Simple AI
Game 377: Winner: Béla, Type: Random AI
Game 378: Winner: Károly, Type: Simple AI
Game 379: Winner: Károly, Type: Simple AI
Game 380: Winner: Béla, Type: Random AI
Game 381: Winner: Béla, Type: Random AI
Game 382: Winner: Béla, Type: Random AI
Game 383: Winner: Béla, Type: Random AI
Game 384: Winner: Károly, Type: Simple AI
Game 385: Winner: Károly, Type: Simple AI
Game 386: Winner: Károly, Type: Simple AI
Game 387: Winner: Béla, Type: Random AI
Game 388: Winner: Béla, Type: Random AI
Game 389: Winner: Béla, Type: Random AI
Game 390: Winner: Béla, Type: Random AI
Game 391: Winner: Béla, Type: Random AI
Game 392: Winner: Károly, Type: Simple AI
Game 393: Winner: Károly, Type: Simple AI
Game 394: Winner: Béla, Type: Random AI
Game 395: Winner: Károly, Type: Simple AI
Game 396: Winner: Károly, Type: Simple AI
Game 397: Winner: Béla, Type: Random AI
Game 398: Winner: Béla, Type: Random AI
Game 399: Winner: Károly, Type: Simple AI
Game 400: Winner: Károly, Type: Simple AI
Game 401: Winner: Károly, Type: Simple AI
Game 402: Winner: Béla, Type: Random AI
Game 403: Winner: Béla, Type: Random AI
Game 404: Winner: Károly, Type: Simple AI
Game 405: Winner: Béla, Type: Random AI
Game 406: Winner: Károly, Type: Simple AI
Game 407: Winner: Béla, Type: Random AI
Game 408: Winner: Béla, Type: Random AI
Game 409: Winner: Béla, Type: Random AI
Game 410: Winner: Béla, Type: Random AI
Game 411: Winner: Béla, Type: Random AI
Game 412: Winner: Béla, Type: Random AI
Game 413: Winner: Béla, Type: Random AI
Game 414: Winner: Béla, Type: Random AI
Game 415: Winner: Károly, Type: Simple AI
Game 416: Winner: Károly, Type: Simple AI
Game 417: Winner: Béla, Type: Random AI
Game 418: Winner: Károly, Type: Simple AI
Game 419: Winner: Károly, Type: Simple AI
Game 420: Winner: Béla, Type: Random AI
Game 421: Winner: Béla, Type: Random AI
Game 422: Winner: Károly, Type: Simple AI
Game 423: Winner: Béla, Type: Random AI
Game 424: Winner: Károly, Type: Simple AI
Game 425: Winner: Béla, Type: Random AI
Game 426: Winner: Károly, Type: Simple AI
Game 427: Winner: Béla, Type: Random AI
Game 428: Winner: Béla, Type: Random AI
Game 429: Winner: Béla, Type: Random AI
Game 430: Winner: Károly, Type: Simple AI
Game 431: Winner: Károly, Type: Simple AI
Game 432: Winner: Béla, Type: Random AI
Game 433: Winner: Károly, Type: Simple AI
Game 434: Winner: Béla, Type: Random AI
Game 435: Winner: Béla, Type: Random AI
Game 436: Winner: Károly, Type: Simple AI
Game 437: Winner: Károly, Type: Simple AI
Game 438: Winner: Károly, Type: Simple AI
Game 439: Winner: Béla, Type: Random AI
Game 440: Winner: Károly, Type: Simple AI
Game 441: Winner: Béla, Type: Random AI
Game 442: Winner: Károly, Type: Simple AI
Game 443: Winner: Béla, Type: Random AI
Game 444: Winner: Béla, Type: Random AI
Game 445: Winner: Béla, Type: Random AI
Game 446: Winner: Károly, Type: Simple AI
Game 447: Winner: Károly, Type: Simple AI
Game 448: Winner: Béla, Type: Random AI
Game 449: Winner: Károly, Type: Simple AI
Game 450: Winner: Béla, Type: Random AI
Game 451: Winner: Béla, Type: Random AI
Game 452: Winner: Károly, Type: Simple AI
Game 453: Winner: Béla, Type: Random AI
Game 454: Winner: Károly, Type: Simple AI
Game 455: Winner: Károly, Type: Simple AI
Game 456: Winner: Béla, Type: Random AI
Game 457: Winner: Béla, Type: Random AI
Game 458: Winner: Béla, Type: Random AI
Game 459: Winner: Károly, Type: Simple AI
Game 460: Winner: Béla, Type: Random AI
Game 461: Winner: Károly, Type: Simple AI
Game 462: Winner: Károly, Type: Simple AI
Game 463: Winner: Károly, Type: Simple AI
Game 464: Winner: Béla, Type: Random AI
Game 465: Winner: Károly, Type: Simple AI
Game 466: Winner: Károly, Type: Simple AI
Game 467: Winner: Béla, Type: Random AI
Game 468: Winner: Béla, Type: Random AI
Game 469: Winner: Béla, Type: Random AI
Game 470: Winner: Béla, Type: Random AI
Game 471: Winner: Béla, Type: Random AI
Game 472: Winner: Károly, Type: Simple AI
Game 473: Winner: Béla, Type: Random AI
Game 474: Winner: Béla, Type: Random AI
Game 475: Winner: Béla, Type: Random AI
Game 476: Winner: Béla, Type: Random AI
Game 477: Winner: Béla, Type: Random AI
Game 478: Winner: Béla, Type: Random AI
Game 479: Winner: Károly, Type: Simple AI
Game 480: Winner: Béla, Type: Random AI
Game 481: Winner: Károly, Type: Simple AI
Game 482: Winner: Béla, Type: Random AI
Game 483: Winner: Károly, Type: Simple AI
Game 484: Winner: Károly, Type: Simple AI
Game 485: Winner: Béla, Type: Random AI
Game 486: Winner: Károly, Type: Simple AI
Game 487: Winner: Károly, Type: Simple AI
Game 488: Winner: Károly, Type: Simple AI
Game 489: Winner: Béla, Type: Random AI
Game 490: Winner: Károly, Type: Simple AI
Game 491: Winner: Károly, Type: Simple AI
Game 492: Winner: Károly, Type: Simple AI
Game 493: Winner: Károly, Type: Simple AI
Game 494: Winner: Károly, Type: Simple AI
Game 495: Winner: Béla, Type: Random AI
Game 496: Winner: Károly, Type: Simple AI
Game 497: Winner: Béla, Type: Random AI
Game 498: Winner: Károly, Type: Simple AI
Game 499: Winner: Károly, Type: Simple AI
Game 500: Winner: Béla, Type: Random AI
Game 501: Winner: Károly, Type: Simple AI
Game 502: Winner: Béla, Type: Random AI
Game 503: Winner: Béla, Type: Random AI
Game 504: Winner: Béla, Type: Random AI
Game 505: Winner: Béla, Type: Random AI
Game 506: Winner: Béla, Type: Random AI
Game 507: Winner: Károly, Type: Simple AI
Game 508: Winner: Károly, Type: Simple AI
Game 509: Winner: Béla, Type: Random AI
Game 510: Winner: Károly, Type: Simple AI
Game 511: Winner: Károly, Type: Simple AI
Game 512: Winner: Károly, Type: Simple AI
Game 513: Winner: Béla, Type: Random AI
Game 514: Winner: Béla, Type: Random AI
Game 515: Winner: Béla, Type: Random AI
Game 516: Winner: Béla, Type: Random AI
Game 517: Winner: Béla, Type: Random AI
Game 518: Winner: Károly, Type: Simple AI
Game 519: Winner: Béla, Type: Random AI
Game 520: Winner: Károly, Type: Simple AI
Game 521: Winner: Béla, Type: Random AI
Game 522: Winner: Béla, Type: Random AI
Game 523: Winner: Béla, Type: Random AI
Game 524: Winner: Károly, Type: Simple AI
Game 525: Winner: Béla, Type: Random AI
Game 526: Winner: Béla, Type: Random AI
Game 527: Winner: Károly, Type: Simple AI
Game 528: Winner: Károly, Type: Simple AI
Game 529: Winner: Károly, Type: Simple AI
Game 530: Winner: Károly, Type: Simple AI
Game 531: Winner: Károly, Type: Simple AI
Game 532: Winner: Béla, Type: Random AI
Game 533: Winner: Károly, Type: Simple AI
Game 534: Winner: Károly, Type: Simple AI
Game 535: Winner: Károly, Type: Simple AI
Game 536: Winner: Béla, Type: Random AI
Game 537: Winner: Béla, Type: Random AI
Game 538: Winner: Károly, Type: Simple AI
Game 539: Winner: Károly, Type: Simple AI
Game 540: Winner: Károly, Type: Simple AI
Game 541: Winner: Béla, Type: Random AI
Game 542: Winner: Béla, Type: Random AI
Game 543: Winner: Béla, Type: Random AI
Game 544: Winner: Károly, Type: Simple AI
Game 545: Winner: Károly, Type: Simple AI
Game 546: Winner: Béla, Type: Random AI
Game 547: Winner: Károly, Type: Simple AI
Game 548: Winner: Károly, Type: Simple AI
Game 549: Winner: Béla, Type: Random AI
Game 550: Winner: Károly, Type: Simple AI
Game 551: Winner: Károly, Type: Simple AI
Game 552: Winner: Béla, Type: Random AI
Game 553: Winner: Károly, Type: Simple AI
Game 554: Winner: Károly, Type: Simple AI
Game 555: Winner: Béla, Type: Random AI
Game 556: Winner: Károly, Type: Simple AI
Game 557: Winner: Károly, Type: Simple AI
Game 558: Winner: Károly, Type: Simple AI
Game 559: Winner: Béla, Type: Random AI
Game 560: Winner: Károly, Type: Simple AI
Game 561: Winner: Károly, Type: Simple AI
Game 562: Winner: Károly, Type: Simple AI
Game 563: Winner: Béla, Type: Random AI
Game 564: Winner: Károly, Type: Simple AI
Game 565: Winner: Béla, Type: Random AI
Game 566: Winner: Károly, Type: Simple AI
Game 567: Winner: Károly, Type: Simple AI
Game 568: Winner: Károly, Type: Simple AI
Game 569: Winner: Károly, Type: Simple AI
Game 570: Winner: Béla, Type: Random AI
Game 571: Winner: Béla, Type: Random AI
Game 572: Winner: Béla, Type: Random AI
Game 573: Winner: Károly, Type: Simple AI
Game 574: Winner: Károly, Type: Simple AI
Game 575: Winner: Béla, Type: Random AI
Game 576: Winner: Károly, Type: Simple AI
Game 577: Winner: Károly, Type: Simple AI
Game 578: Winner: Károly, Type: Simple AI
Game 579: Winner: Károly, Type: Simple AI
Game 580: Winner: Károly, Type: Simple AI
Game 581: Winner: Károly, Type: Simple AI
Game 582: Winner: Béla, Type: Random AI
Game 583: Winner: Béla, Type: Random AI
Game 584: Winner: Béla, Type: Random AI
Game 585: Winner: Károly, Type: Simple AI
Game 586: Winner: Károly, Type: Simple AI
Game 587: Winner: Béla, Type: Random AI
Game 588: Winner: Károly, Type: Simple AI
Game 589: Winner: Béla, Type: Random AI
Game 590: Winner: Béla, Type: Random AI
Game 591: Winner: Béla, Type: Random AI
Game 592: Winner: Béla, Type: Random AI
Game 593: Winner: Károly, Type: Simple AI
Game 594: Winner: Károly, Type: Simple AI
Game 595: Winner: Béla, Type: Random AI
Game 596: Winner: Béla, Type: Random AI
Game 597: Winner: Károly, Type: Simple AI
Game 598: Winner: Béla, Type: Random AI
Game 599: Winner: Béla, Type: Random AI
Game 600: Winner: Károly, Type: Simple AI
Game 601: Winner: Károly, Type: Simple AI
Game 602: Winner: Béla, Type: Random AI
Game 603: Winner: Károly, Type: Simple AI
Game 604: Winner: Károly, Type: Simple AI
Game 605: Winner: Károly, Type: Simple AI
Game 606: Winner: Károly, Type: Simple AI
Game 607: Winner: Károly, Type: Simple AI
Game 608: Winner: Károly, Type: Simple AI
Game 609: Winner: Béla, Type: Random AI
Game 610: Winner: Károly, Type: Simple AI
Game 611: Winner: Károly, Type: Simple AI
Game 612: Winner: Károly, Type: Simple AI
Game 613: Winner: Béla, Type: Random AI
Game 614: Winner: Károly, Type: Simple AI
Game 615: Winner: Béla, Type: Random AI
Game 616: Winner: Károly, Type: Simple AI
Game 617: Winner: Béla, Type: Random AI
Game 618: Winner: Károly, Type: Simple AI
Game 619: Winner: Károly, Type: Simple AI
Game 620: Winner: Károly, Type: Simple AI
Game 621: Winner: Béla, Type: Random AI
Game 622: Winner: Károly, Type: Simple AI
Game 623: Winner: Béla, Type: Random AI
Game 624: Winner: Károly, Type: Simple AI
Game 625: Winner: Béla, Type: Random AI
Game 626: Winner: Károly, Type: Simple AI
Game 627: Winner: Béla, Type: Random AI
Game 628: Winner: Béla, Type: Random AI
Game 629: Winner: Károly, Type: Simple AI
Game 630: Winner: Károly, Type: Simple AI
Game 631: Winner: Béla, Type: Random AI
Game 632: Winner: Károly, Type: Simple AI
Game 633: Winner: Károly, Type: Simple AI
Game 634: Winner: Károly, Type: Simple AI
Game 635: Winner: Béla, Type: Random AI
Game 636: Winner: Károly, Type: Simple AI
Game 637: Winner: Béla, Type: Random AI
Game 638: Winner: Károly, Type: Simple AI
Game 639: Winner: Béla, Type: Random AI
